,skeleton_id,treenode_id,parent_node_id,confidence,x,y,z,radius,creator,last_edited,reviewers,tags
393,6195521,6196164,6196165,5,20025.4,70566.0,116750.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
394,6195521,6196169,6196170,5,19815.1,70623.0,117000.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
395,6195521,6196168,6196169,5,19853.1,70601.5,116950.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
396,6195521,6196167,6196168,5,19891.1,70579.9,116900.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
397,6195521,6196172,6196180,5,19568.1,70809.2,117150.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
398,6195521,6196171,6196172,5,19650.4,70747.1,117100.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
399,6195521,6196182,6196183,5,19412.3,70904.2,117300.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
400,6195521,6196185,6196186,5,19180.5,70934.6,117450.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
401,6195521,6196184,6196185,5,19257.8,70924.5,117400.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
402,6195521,6196183,6196184,5,19335.0,70914.3,117350.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
403,6195521,6196188,6196189,5,18994.3,70896.6,117600.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
404,6195521,6196187,6196188,5,19056.4,70909.3,117550.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
405,6195521,6196186,6196187,5,19118.4,70921.9,117500.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
406,6195521,6196191,6196192,5,18811.9,70911.8,117750.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
407,6195521,6196190,6196191,5,18872.7,70906.7,117700.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
408,6195521,6196189,6196190,5,18933.5,70901.7,117650.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
409,6195521,6196193,6196194,5,18700.4,70906.7,117850.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
410,6195521,6196192,6196193,5,18756.2,70909.3,117800.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
411,6195521,6195525,6195529,5,49715.4,67799.6,117600.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
412,6195521,6196194,,5,18644.7,70904.2,117900.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']","['ends', 'out to nerve']"
413,6195521,6196181,6196182,5,19464.2,70872.5,117250.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
414,6195521,6196180,6196181,5,19516.2,70840.9,117200.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
415,6195521,6196170,6196171,5,19732.8,70685.1,117050.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
416,6195521,6196161,6196162,5,20149.5,70544.5,116600.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
417,6195521,6196136,6196137,5,21679.6,70294.9,116050.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
418,6195521,6196135,6196136,5,21872.2,70282.3,116000.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
419,6195521,6196101,6196128,5,23079.3,69914.9,115950.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
420,6195521,6196069,6196070,5,28346.1,67147.3,116700.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
421,6195521,6196068,6196069,5,28634.9,67072.5,116750.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
422,6195521,6196061,6196062,5,29203.0,66881.9,116750.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
423,6195521,6196058,6196059,5,29803.4,66728.0,116600.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
424,6195521,6196057,6196058,5,29963.9,66709.0,116550.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
425,6195521,6196045,6196053,5,30409.5,66709.0,116300.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
426,6195521,6196044,6196045,5,30595.7,66703.9,116250.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
427,6195521,6196043,6196044,5,30781.9,66698.9,116200.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
428,6195521,6196041,6196042,5,31290.2,66613.0,116100.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
429,6195521,6196040,6196041,5,31612.2,66532.3,116050.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
430,6195521,6196039,6196040,5,31934.2,66451.5,116000.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
431,6195521,6196028,6196029,5,33231.6,66150.4,116050.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
432,6195521,6196016,6196019,5,34464.1,65994.6,116250.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
433,6195521,6196015,6196016,5,34589.5,65992.7,116300.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
434,6195521,6196014,6196015,5,34714.9,65990.8,116350.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
435,6195521,6196013,6196014,5,34840.3,65988.9,116400.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
436,6195521,6196010,6196011,5,35040.4,65969.3,116500.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
437,6195521,6196009,6196010,5,35115.2,65951.5,116550.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
438,6195521,6196008,6196009,5,35189.9,65933.8,116600.0,-1.0,albert,2013-07-26 20:52:19+00:00,"['aref', 'akira']",[]
